Provinsi,Tahun,Jumlah_Fasilitas,Infra_Sampahmasuk_ton
ACEH,2020,2,11530.35
ACEH,2021,6,121156.79000000001
ACEH,2022,22,307589.33999999997
ACEH,2023,27,414896.87
ACEH,2024,27,424261.9
BALI,2019,1,19031.1
BALI,2020,1,20257.5
BALI,2021,3,218367.94
BALI,2022,12,683405.0700000001
BALI,2023,12,730328.3300000001
BALI,2024,12,721376.88
BANTEN,2019,1,480705.0
BANTEN,2020,1,32780.65
BANTEN,2021,3,277104.35
BANTEN,2022,9,1471195.38
BANTEN,2023,10,999319.83
BANTEN,2024,10,1194543.21
BENGKULU,2021,2,16589.25
BENGKULU,2022,3,23268.75
BENGKULU,2023,7,143979.72999999998
BENGKULU,2024,4,19788.11
DAERAH ISTIMEWA YOGYAKARTA,2021,3,199318.09000000003
DAERAH ISTIMEWA YOGYAKARTA,2022,5,315905.96
DAERAH ISTIMEWA YOGYAKARTA,2023,5,213464.91
DAERAH ISTIMEWA YOGYAKARTA,2024,5,79125.52
DKI JAKARTA,2021,3,1120050.06
DKI JAKARTA,2022,6,2292221.17
DKI JAKARTA,2023,6,2265004.38
DKI JAKARTA,2024,3,1432373.18
GORONTALO,2021,1,36135.0
GORONTALO,2022,3,47168.95
GORONTALO,2023,4,51797.520000000004
GORONTALO,2024,2,44165.0
JAMBI,2021,3,156343.56
JAMBI,2022,5,180723.66
JAMBI,2023,4,164504.59000000003
JAMBI,2024,3,156018.62
JAWA BARAT,2020,3,625617.3099999999
JAWA BARAT,2021,12,1952488.35
JAWA BARAT,2022,17,2368040.0
JAWA BARAT,2023,28,3334616.35
JAWA BARAT,2024,23,2572489.87
JAWA TENGAH,2019,1,76650.0
JAWA TENGAH,2020,2,115012.7
JAWA TENGAH,2021,36,1723841.27
JAWA TENGAH,2022,39,2055400.5899999999
JAWA TENGAH,2023,38,1948303.6600000001
JAWA TENGAH,2024,32,1919673.5899999999
JAWA TIMUR,2019,1,11840.6
JAWA TIMUR,2020,3,62489.81
JAWA TIMUR,2021,25,1019753.61
JAWA TIMUR,2022,48,1849773.66
JAWA TIMUR,2023,49,2122114.53
JAWA TIMUR,2024,49,2176381.76
KALIMANTAN BARAT,2019,1,6570.0
KALIMANTAN BARAT,2020,1,13008.6
KALIMANTAN BARAT,2021,15,186146.15
KALIMANTAN BARAT,2022,16,217259.07
KALIMANTAN BARAT,2023,24,362258.78
KALIMANTAN BARAT,2024,18,239667.39
KALIMANTAN SELATAN,2020,1,20038.5
KALIMANTAN SELATAN,2021,13,371560.52
KALIMANTAN SELATAN,2022,16,457994.28
KALIMANTAN SELATAN,2023,17,470151.76
KALIMANTAN SELATAN,2024,18,462319.43
