Provinsi,Tahun,PDRB_per_kapita_Rupiah,satuan
ACEH,2016,26851880.0,RIBU RUPIAH
SUMATERA UTARA,2016,44392460.0,RIBU RUPIAH
SUMATERA BARAT,2016,37284560.0,RIBU RUPIAH
RIAU,2016,104861110.0,RIBU RUPIAH
JAMBI,2016,49494980.0,RIBU RUPIAH
SUMATERA SELATAN,2016,43361260.0,RIBU RUPIAH
BENGKULU,2016,29076220.0,RIBU RUPIAH
LAMPUNG,2016,34053970.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2016,46402470.0,RIBU RUPIAH
KEPULAUAN RIAU,2016,106503780.0,RIBU RUPIAH
DKI JAKARTA,2016,210075090.0,RIBU RUPIAH
JAWA BARAT,2016,34893620.0,RIBU RUPIAH
JAWA TENGAH,2016,31961950.0,RIBU RUPIAH
DI YOGYAKARTA,2016,29552530.0,RIBU RUPIAH
JAWA TIMUR,2016,47491520.0,RIBU RUPIAH
BANTEN,2016,42439730.0,RIBU RUPIAH
BALI,2016,46211040.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2016,23786950.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2016,16093510.0,RIBU RUPIAH
KALIMANTAN BARAT,2016,33190650.0,RIBU RUPIAH
KALIMANTAN TENGAH,2016,43905330.0,RIBU RUPIAH
KALIMANTAN SELATAN,2016,36022980.0,RIBU RUPIAH
KALIMANTAN TIMUR,2016,145343190.0,RIBU RUPIAH
KALIMANTAN UTARA,2016,99112330.0,RIBU RUPIAH
SULAWESI UTARA,2016,41246250.0,RIBU RUPIAH
SULAWESI TENGAH,2016,41082040.0,RIBU RUPIAH
SULAWESI SELATAN,2016,43817390.0,RIBU RUPIAH
SULAWESI TENGGARA,2016,38022130.0,RIBU RUPIAH
GORONTALO,2016,27544770.0,RIBU RUPIAH
SULAWESI BARAT,2016,27513060.0,RIBU RUPIAH
MALUKU,2016,21599170.0,RIBU RUPIAH
MALUKU UTARA,2016,24580750.0,RIBU RUPIAH
PAPUA BARAT,2016,74584630.0,RIBU RUPIAH
PAPUA,2016,54002150.0,RIBU RUPIAH
ACEH,2017,28096710.0,RIBU RUPIAH
SUMATERA UTARA,2017,48003600.0,RIBU RUPIAH
SUMATERA BARAT,2017,40194290.0,RIBU RUPIAH
RIAU,2017,105844770.0,RIBU RUPIAH
JAMBI,2017,53993400.0,RIBU RUPIAH
SUMATERA SELATAN,2017,46315050.0,RIBU RUPIAH
BENGKULU,2017,31359480.0,RIBU RUPIAH
LAMPUNG,2017,36998320.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2017,48827250.0,RIBU RUPIAH
KEPULAUAN RIAU,2017,109332850.0,RIBU RUPIAH
DKI JAKARTA,2017,228002730.0,RIBU RUPIAH
JAWA BARAT,2017,37223110.0,RIBU RUPIAH
JAWA TENGAH,2017,34234310.0,RIBU RUPIAH
DI YOGYAKARTA,2017,31664920.0,RIBU RUPIAH
JAWA TIMUR,2017,51228450.0,RIBU RUPIAH
BANTEN,2017,45275580.0,RIBU RUPIAH
BALI,2017,50167070.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2017,24986540.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2017,17165450.0,RIBU RUPIAH
KALIMANTAN BARAT,2017,35984530.0,RIBU RUPIAH
KALIMANTAN TENGAH,2017,48293220.0,RIBU RUPIAH
KALIMANTAN SELATAN,2017,38619540.0,RIBU RUPIAH
KALIMANTAN TIMUR,2017,165546620.0,RIBU RUPIAH
KALIMANTAN UTARA,2017,111318540.0,RIBU RUPIAH
SULAWESI UTARA,2017,44744200.0,RIBU RUPIAH
SULAWESI TENGAH,2017,45157280.0,RIBU RUPIAH
SULAWESI SELATAN,2017,47822110.0,RIBU RUPIAH
SULAWESI TENGGARA,2017,41278780.0,RIBU RUPIAH
GORONTALO,2017,29565120.0,RIBU RUPIAH
SULAWESI BARAT,2017,29675860.0,RIBU RUPIAH
MALUKU,2017,22859290.0,RIBU RUPIAH
MALUKU UTARA,2017,26686060.0,RIBU RUPIAH
PAPUA BARAT,2017,78423630.0,RIBU RUPIAH
PAPUA,2017,57864130.0,RIBU RUPIAH
ACEH,2018,29521250.0,RIBU RUPIAH
SUMATERA UTARA,2018,51427490.0,RIBU RUPIAH
SUMATERA BARAT,2018,42802660.0,RIBU RUPIAH
RIAU,2018,110384900.0,RIBU RUPIAH
JAMBI,2018,58224890.0,RIBU RUPIAH
SUMATERA SELATAN,2018,50104670.0,RIBU RUPIAH
BENGKULU,2018,33822130.0,RIBU RUPIAH
LAMPUNG,2018,39716460.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2018,50081950.0,RIBU RUPIAH
KEPULAUAN RIAU,2018,116461400.0,RIBU RUPIAH
DKI JAKARTA,2018,247678490.0,RIBU RUPIAH
JAWA BARAT,2018,40272640.0,RIBU RUPIAH
JAWA TENGAH,2018,36770960.0,RIBU RUPIAH
DI YOGYAKARTA,2018,34136930.0,RIBU RUPIAH
JAWA TIMUR,2018,55410610.0,RIBU RUPIAH
BANTEN,2018,48370150.0,RIBU RUPIAH
BALI,2018,54433460.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2018,24705970.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2018,18417540.0,RIBU RUPIAH
KALIMANTAN BARAT,2018,38814730.0,RIBU RUPIAH
KALIMANTAN TENGAH,2018,52107230.0,RIBU RUPIAH
KALIMANTAN SELATAN,2018,41046280.0,RIBU RUPIAH
KALIMANTAN TIMUR,2018,174164820.0,RIBU RUPIAH
KALIMANTAN UTARA,2018,119413880.0,RIBU RUPIAH
SULAWESI UTARA,2018,48105410.0,RIBU RUPIAH
SULAWESI TENGAH,2018,55518660.0,RIBU RUPIAH
SULAWESI SELATAN,2018,52642080.0,RIBU RUPIAH
SULAWESI TENGGARA,2018,44492090.0,RIBU RUPIAH
GORONTALO,2018,31827620.0,RIBU RUPIAH
SULAWESI BARAT,2018,32059090.0,RIBU RUPIAH
MALUKU,2018,24268620.0,RIBU RUPIAH
MALUKU UTARA,2018,29586120.0,RIBU RUPIAH
PAPUA BARAT,2018,84958030.0,RIBU RUPIAH
PAPUA,2018,63385680.0,RIBU RUPIAH
ACEH,2019,30879060.0,RIBU RUPIAH
SUMATERA UTARA,2019,54620400.0,RIBU RUPIAH
SUMATERA BARAT,2019,44885510.0,RIBU RUPIAH
RIAU,2019,111227010.0,RIBU RUPIAH
JAMBI,2019,60828860.0,RIBU RUPIAH
SUMATERA SELATAN,2019,53359100.0,RIBU RUPIAH
BENGKULU,2019,36565290.0,RIBU RUPIAH
LAMPUNG,2019,42172320.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2019,52232800.0,RIBU RUPIAH
KEPULAUAN RIAU,2019,119394660.0,RIBU RUPIAH
DKI JAKARTA,2019,268052250.0,RIBU RUPIAH
JAWA BARAT,2019,43309190.0,RIBU RUPIAH
JAWA TENGAH,2019,39388150.0,RIBU RUPIAH
DI YOGYAKARTA,2019,36459730.0,RIBU RUPIAH
JAWA TIMUR,2019,59015170.0,RIBU RUPIAH
BANTEN,2019,52013990.0,RIBU RUPIAH
BALI,2019,57755960.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2019,25716110.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2019,19630020.0,RIBU RUPIAH
KALIMANTAN BARAT,2019,42045410.0,RIBU RUPIAH
KALIMANTAN TENGAH,2019,56625380.0,RIBU RUPIAH
KALIMANTAN SELATAN,2019,42823560.0,RIBU RUPIAH
KALIMANTAN TIMUR,2019,180259100.0,RIBU RUPIAH
KALIMANTAN UTARA,2019,138751010.0,RIBU RUPIAH
SULAWESI UTARA,2019,52173020.0,RIBU RUPIAH
SULAWESI TENGAH,2019,61056030.0,RIBU RUPIAH
SULAWESI SELATAN,2019,57182140.0,RIBU RUPIAH
SULAWESI TENGGARA,2019,48514150.0,RIBU RUPIAH
GORONTALO,2019,34976650.0,RIBU RUPIAH
SULAWESI BARAT,2019,34111830.0,RIBU RUPIAH
MALUKU,2019,26097040.0,RIBU RUPIAH
