Provinsi,Jumlah_Penduduk_Ribu,Tahun,Jumlah_Penduduk
ACEH,5554.8,2024,5554800.0
SUMATERA UTARA,15588.5,2024,15588500.0
SUMATERA BARAT,5836.2,2024,5836200.0
RIAU,6728.1,2024,6728100.0
KEP. RIAU,2183.3,2024,2183300.0
JAMBI,3724.3,2024,3724300.0
SUMATERA SELATAN,8837.3,2024,8837300.0
KEP. BANGKA BELITUNG,1531.5,2024,1531500.0
BENGKULU,2112.2,2024,2112200.0
LAMPUNG,9419.6,2024,9419600.0
DKI JAKARTA,10684.9,2024,10684900.0
JAWA BARAT,50345.2,2024,50345200.0
BANTEN,12431.4,2024,12431400.0
JAWA TENGAH,37892.3,2024,37892300.0
DI YOGYAKARTA,3759.5,2024,3759500.0
JAWA TIMUR,41814.5,2024,41814500.0
KALIMANTAN BARAT,5695.5,2024,5695500.0
KALIMANTAN TENGAH,2809.7,2024,2809700.0
KALIMANTAN SELATAN,4273.4,2024,4273400.0
KALIMANTAN TIMUR,4045.9,2024,4045900.0
KALIMANTAN UTARA,739.8,2024,739800.0
SULAWESI UTARA,2701.8,2024,2701800.0
GORONTALO,1227.8,2024,1227800.0
SULAWESI TENGAH,3121.8,2024,3121800.0
SULAWESI SELATAN,9463.4,2024,9463400.0
SULAWESI BARAT,1503.2,2024,1503200.0
SULAWESI TENGGARA,2793.1,2024,2793100.0
BALI,4433.3,2024,4433300.0
NUSA TENGGARA BARAT,5646.0,2024,5646000.0
NUSA TENGGARA TIMUR,5656.0,2024,5656000.0
MALUKU,1945.6,2024,1945600.0
MALUKU UTARA,1355.6,2024,1355600.0
PAPUA BARAT,1205.8,2024,1205800.0
PAPUA,4542.6,2024,4542600.0
NAN,,2023,
NAN,,2022,
ACEH,5274.9,2021,5274900.0
SUMATERA UTARA,14799.4,2021,14799400.0
SUMATERA BARAT,5534.5,2021,5534500.0
RIAU,6394.1,2021,6394100.0
KEP. RIAU,2064.6,2021,2064600.0
JAMBI,3548.2,2021,3548200.0
SUMATERA SELATAN,8467.4,2021,8467400.0
KEP. BANGKA BELITUNG,1455.7,2021,1455700.0
BENGKULU,2010.7,2021,2010700.0
LAMPUNG,9007.8,2021,9007800.0
DKI JAKARTA,10562.1,2021,10562100.0
JAWA BARAT,48274.2,2021,48274200.0
BANTEN,11904.6,2021,11904600.0
JAWA TENGAH,36516.0,2021,36516000.0
DI YOGYAKARTA,3668.7,2021,3668700.0
JAWA TIMUR,40665.7,2021,40665700.0
KALIMANTAN BARAT,5414.4,2021,5414400.0
KALIMANTAN TENGAH,2670.0,2021,2670000.0
KALIMANTAN SELATAN,4073.6,2021,4073600.0
KALIMANTAN TIMUR,3766.0,2021,3766000.0
KALIMANTAN UTARA,701.8,2021,701800.0
SULAWESI UTARA,2621.9,2021,2621900.0
GORONTALO,1171.7,2021,1171700.0
SULAWESI TENGAH,2985.7,2021,2985700.0
SULAWESI SELATAN,9073.5,2021,9073500.0
SULAWESI BARAT,1419.2,2021,1419200.0
SULAWESI TENGGARA,2624.9,2021,2624900.0
BALI,4317.4,2021,4317400.0
NUSA TENGGARA BARAT,5320.1,2021,5320100.0
NUSA TENGGARA TIMUR,5325.6,2021,5325600.0
MALUKU,1848.9,2021,1848900.0
MALUKU UTARA,1282.9,2021,1282900.0
PAPUA BARAT,1134.1,2021,1134100.0
PAPUA,4303.7,2021,4303700.0
