Provinsi,Tahun,Timbulan_Tahunan_ton,Timbulan_Harian_ton,PDRB_per_kapita_Rupiah,Jumlah_Fasilitas,Infra_Sampahmasuk_ton,Jumlah_Penduduk,Realisasi_APBD
ACEH,2019,254830.94,698.1800000000001,30879060.0,,,,
ACEH,2020,247624.51,678.42,31633380.0,2.0,11530.35,,
ACEH,2021,196604.37,538.64,34673560.0,6.0,121156.79000000001,5274900.0,0.0
ACEH,2022,598630.37,1640.1,38767080.0,22.0,307589.33999999997,,0.0
ACEH,2023,920435.58,2521.74,41407590.0,27.0,414896.87,,0.0
ACEH,2024,931689.39,2552.58,43782210.0,27.0,424261.9,5554800.0,0.0
BALI,2019,797720.94,2185.54,57755960.0,1.0,19031.1,,
BALI,2020,904924.36,2479.26,52015450.0,1.0,20257.5,,
BALI,2021,915482.47,2508.1800000000003,50758320.0,3.0,218367.94,4317400.0,0.0
BALI,2022,1027433.75,2814.89,56092960.0,12.0,683405.0700000001,,0.0
BALI,2023,1229234.65,3367.7799999999997,62293790.0,12.0,730328.3300000001,,0.0
BALI,2024,1254235.02,3436.28,67318720.0,12.0,721376.88,4433300.0,0.0
BANTEN,2019,2425292.19,6644.63,52013990.0,1.0,480705.0,,
BANTEN,2020,1319940.1099999999,3616.27,52729400.0,1.0,32780.65,,
BANTEN,2021,795829.76,2180.3599999999997,55383290.0,3.0,277104.35,11904600.0,0.0
BANTEN,2022,2627865.54,7199.63,61413540.0,9.0,1471195.38,,0.0
BANTEN,2023,2037973.03,5583.49,66147200.0,10.0,999319.83,,0.0
BANTEN,2024,2008938.75,5503.95,70275820.0,10.0,1194543.21,12431400.0,0.0
BENGKULU,2019,145167.8,397.71,36565290.0,,,,
BENGKULU,2020,36225.81,99.25,36552500.0,,,,
BENGKULU,2021,38966.12,106.76,39167130.0,2.0,16589.25,2010700.0,0.0
BENGKULU,2022,137034.72,375.43,43756980.0,3.0,23268.75,,0.0
BENGKULU,2023,329616.33,903.0699999999999,46300490.0,7.0,143979.72999999998,,0.0
BENGKULU,2024,146296.43,400.81,49233120.0,4.0,19788.11,2112200.0,0.0
DAERAH ISTIMEWA YOGYAKARTA,2019,783652.45,2146.98,,,,,
DAERAH ISTIMEWA YOGYAKARTA,2020,451594.9,1237.25,,,,,
DAERAH ISTIMEWA YOGYAKARTA,2021,452637.63,1240.1100000000001,,3.0,199318.09000000003,,0.0
DAERAH ISTIMEWA YOGYAKARTA,2022,691435.1799999999,1894.33,,5.0,315905.96,,0.0
DAERAH ISTIMEWA YOGYAKARTA,2023,712086.32,1950.9199999999998,,5.0,213464.91,,0.0
DAERAH ISTIMEWA YOGYAKARTA,2024,708359.03,1940.71,,5.0,79125.52,,0.0
DKI JAKARTA,2019,2008546.37,5502.86,268052250.0,,,,
DKI JAKARTA,2020,3054812.22,8369.34,262615169.99999997,,,,
DKI JAKARTA,2021,2354345.2399999998,6450.26,274659620.0,3.0,1120050.06,10562100.0,0.0
DKI JAKARTA,2022,3112381.41,8527.07,299674730.0,6.0,2292221.17,,0.0
DKI JAKARTA,2023,3141650.18,8607.27,322619370.0,6.0,2265004.38,,0.0
DKI JAKARTA,2024,1235385.3199999998,3384.61,344349760.0,3.0,1432373.18,10684900.0,0.0
GORONTALO,2019,125774.51000000001,344.59000000000003,34976650.0,,,,
GORONTALO,2020,75039.19,205.58,35693260.0,,,,
GORONTALO,2021,51541.5,141.21,37086760.0,1.0,36135.0,1171700.0,0.0
GORONTALO,2022,149170.71000000002,408.69,39690940.0,3.0,47168.95,,0.0
GORONTALO,2023,152050.94,416.58000000000004,42340500.0,4.0,51797.520000000004,,0.0
GORONTALO,2024,72967.64,199.91000000000003,44432950.0,2.0,44165.0,1227800.0,0.0
JAMBI,2019,260478.27,713.63,60828860.0,,,,
JAMBI,2020,370256.76,1014.41,57957730.0,,,,
JAMBI,2021,287374.47,787.32,64770930.0,3.0,156343.56,3548200.0,0.0
JAMBI,2022,352484.44,965.6999999999999,76224160.0,5.0,180723.66,,0.0
JAMBI,2023,291863.28,799.63,79849560.0,4.0,164504.59000000003,,0.0
JAMBI,2024,182172.30000000002,499.1,86721510.0,3.0,156018.62,3724300.0,0.0
JAWA BARAT,2019,2907389.89,7965.46,43309190.0,,,,
JAWA BARAT,2020,3430859.16,9399.619999999999,43236510.0,3.0,625617.3099999999,,
JAWA BARAT,2021,4510863.43,12358.529999999999,45234180.0,12.0,1952488.35,48274200.0,0.0
JAWA BARAT,2022,5427324.84,14869.4,49136900.0,17.0,2368040.0,,0.0
